Student ID,Student Full Name,Department Name/Code,Joining Year,Graduation Year,Contact Email,Contact Phone Number,Date of Birth,Student Address,Student City,Academic Score %,Attendance %,Got Job Offer in Campus Placement,Job Offered by Company,Starting Campus Offer Value,Notes
1001,Sana Sandal,Computer Science Engineering (CSE),2017,2021,sanasandal90@gmail.com,1257489285,04-01-1998,"H.No. 093, Sane Road, Aligarh-531803",Bhopal,80,94.7,No,,,No special remarks
1002,Vedika Mane,Computer Science Engineering (CSE),2018,2022,vedikamane90@gmail.com,9.11491E+11,17-12-1998,"H.No. 305, Borra, Gulbarga-058062",Munger,92.7,88.3,No,,,No special remarks
1003,Advika Sood,Computer Science Engineering (CSE),2018,2022,advikasood23@gmail.com,9.12661E+11,11-07-2000,"H.No. 95, Kapadia Zila, Ramagundam-919432",Shimla,88.6,92.1,No,,,No special remarks
1004,Diya Bora,Computer Science Engineering (CSE),2016,2020,diyabora60@gmail.com,9.14549E+11,14-09-2002,"18/37, Srinivas Marg, Uluberia 456453",Jamalpur,78.1,93.2,No,,,No special remarks
1005,Vaibhav Keer,Computer Science Engineering (CSE),2018,2022,vaibhavkeer53@gmail.com,1573697712,31-03-1999,"60/530, Ravel Road, North Dumdum-725405",Salem,92.8,95.8,Yes,Wipro,2252104,Got job in campus placement
1006,Alisha Kapadia,Computer Science Engineering (CSE),2016,2020,alishakapadia50@gmail.com,8583312192,21-03-1998,"H.No. 009, Kunda Street, Ajmer 472926",Dindigul,78.7,96,No,,,No special remarks
1007,Aniruddh Kar,Computer Science Engineering (CSE),2019,2023,aniruddhkar37@gmail.com,4122744874,07-04-2002,"H.No. 63, Tara Zila, Tirupati-106958",Morbi,82,95,No,,,No special remarks
1008,Umang Trivedi,Computer Science Engineering (CSE),2019,2023,umangtrivedi74@gmail.com,4629248789,26-08-2000,"90, Bal Chowk, Durgapur-802499",Gulbarga,92.4,94.3,No,,,No special remarks
1009,Tejas Kaul,Computer Science Engineering (CSE),2016,2020,tejaskaul60@gmail.com,3514517364,16-07-2003,"20, Baral Marg, Kishanganj 146840",Guntakal,84.9,86.2,No,,,No special remarks
1010,Siya Chauhan,Computer Science Engineering (CSE),2016,2020,siyachauhan69@gmail.com,9.13365E+11,16-12-2002,"93/454, Kara Zila, Kozhikode 967995",Madhyamgram,87.7,90.3,Yes,Zoho Corporation,2348088,Got job in campus placement
1011,Rania Mand,Computer Science Engineering (CSE),2019,2023,raniamand71@gmail.com,9.13255E+11,04-04-2002,"35, Bhat, Bijapur-609907",Ajmer,76.9,89.1,No,,,No special remarks
1012,Keya Bahl,Computer Science Engineering (CSE),2016,2020,keyabahl48@gmail.com,9.13322E+11,07-06-2000,"27/14, Khalsa Path, Ambattur 169326",Bhusawal,94.4,92.8,Yes,TCS,2332706,Got job in campus placement
1013,Nakul Suresh,Computer Science Engineering (CSE),2017,2021,nakulsuresh25@gmail.com,9.15257E+11,17-05-2003,"03, Chaudhari, Satara 079251",Durg,91.9,88,No,,,No special remarks
1014,Badal Bassi,Computer Science Engineering (CSE),2016,2020,badalbassi23@gmail.com,9.14907E+11,01-09-2003,"45, Badal Marg, Imphal 349922",Aurangabad,84.4,97.4,Yes,TCS,2269351,Got job in campus placement
1015,Zaina Ranganathan,Computer Science Engineering (CSE),2019,2023,zainaranganathan48@gmail.com,4511659836,06-03-2001,"H.No. 609, Deshmukh Circle, Anantapuram 059909",Rewa,82,97.6,Yes,Infosys,2378120,Got job in campus placement
1016,Mohanlal Chaudhuri,Computer Science Engineering (CSE),2019,2023,mohanlalchaudhuri65@gmail.com,9.18975E+11,18-07-2001,"H.No. 775, Mane Ganj, Kamarhati-575211",Jammu,95,88.9,No,,,No special remarks
1017,Myra Sankaran,Computer Science Engineering (CSE),2018,2022,myrasankaran15@gmail.com,3696274335,14-02-1998,"H.No. 61, Khatri Street, Tumkur-327129",Tiruvottiyur,89.6,98.9,No,,,No special remarks
1018,Jayesh Bath,Computer Science Engineering (CSE),2017,2021,jayeshbath96@gmail.com,9.18316E+11,20-07-2003,"657, Shenoy Street, Rewa 431473",Howrah,79.5,90.3,Yes,TCS,2311395,Got job in campus placement
1019,Oorja Garg,Computer Science Engineering (CSE),2019,2023,oorjagarg42@gmail.com,9.19102E+11,16-12-2000,"72, Chana Street, Karaikudi 141743",Tezpur,81.2,94.9,No,,,No special remarks
1020,Samaira Sem,Computer Science Engineering (CSE),2016,2020,samairasem36@gmail.com,9088831856,15-07-2002,"06, Hans Street, Kurnool 952097",Amaravati,91.9,80.4,Yes,Wipro,2221911,Got job in campus placement
1021,Lavanya Magar,Computer Science Engineering (CSE),2017,2021,lavanyamagar53@gmail.com,2836401775,23-08-2000,"H.No. 45, Rajagopal Ganj, Gwalior 615372",Bangalore,82.9,97.9,No,,,No special remarks
1022,Kismat Sahota,Computer Science Engineering (CSE),2017,2021,kismatsahota53@gmail.com,9.19297E+11,01-05-2000,"H.No. 85, Kulkarni Road, Alappuzha 761826",Bangalore,90.1,98.9,Yes,Wipro,2331386,Got job in campus placement
1023,Nirvi Sastry,Computer Science Engineering (CSE),2018,2022,nirvisastry78@gmail.com,9.10457E+11,17-09-1997,"14/13, Kapadia Circle, Loni-151427",Bharatpur,75.2,86.1,No,,,No special remarks
1024,Vanya Guha,Computer Science Engineering (CSE),2016,2020,vanyaguha11@gmail.com,9.19731E+11,15-08-1999,"H.No. 63, Soman Road, Anand 690154",Gandhinagar,78.2,97.8,No,,,No special remarks
1025,Yuvraj  Sheth,Computer Science Engineering (CSE),2016,2020,yuvrajsheth16@gmail.com,9.1195E+11,30-03-1999,"18/30, Chatterjee Circle, Tiruvottiyur-644650",Haldia,92,90.2,No,,,No special remarks
1026,Dhanush Mane,Computer Science Engineering (CSE),2018,2022,dhanushmane8@gmail.com,9.10505E+11,02-09-1999,"907, Ratti Ganj, Pune-353333",Dharmavaram,79.9,97.6,Yes,TCS,2317630,Got job in campus placement
1027,Riya Sood,Computer Science Engineering (CSE),2016,2020,riyasood83@gmail.com,5265499955,08-10-1998,"327, Bhatti Circle, Ujjain 864576",Haridwar,82.1,94.3,Yes,Zoho Corporation,2233122,Got job in campus placement
1028,Ritvik Guha,Computer Science Engineering (CSE),2018,2022,ritvikguha19@gmail.com,9.15635E+11,22-06-2003,"88, Tata Zila, Bilaspur 988504",Bihar Sharif,83.3,81.1,Yes,Infosys,2395448,Got job in campus placement
1029,Eshani Chandra,Computer Science Engineering (CSE),2019,2023,eshanichandra96@gmail.com,7372574779,24-04-1998,"H.No. 69, Magar Nagar, Ghaziabad-316812",Kakinada,84.3,81.1,Yes,Infosys,2219368,Got job in campus placement
1030,Taimur Barad,Computer Science Engineering (CSE),2019,2023,taimurbarad86@gmail.com,9689289000,11-02-2001,"H.No. 687, Boase Nagar, Udupi-703958",Begusarai,75.7,97.1,Yes,Zoho Corporation,2310242,Got job in campus placement
1031,Tanya Brar,Computer Science Engineering (CSE),2016,2020,tanyabrar22@gmail.com,1237257625,15-09-2000,"19, Singhal Ganj, Ambala 930302",Dindigul,94.3,99.7,No,,,No special remarks
1032,Pihu Kamdar,Computer Science Engineering (CSE),2017,2021,pihukamdar94@gmail.com,1778404035,29-03-2002,"37/55, Varkey Marg, Kirari Suleman Nagar-980420",Gaya,82.7,89.5,Yes,Infosys,2214684,Got job in campus placement
